slice,pair,year,system_id,seg_id,src_text,mt_text,ref_text,human_mqm_score,f2_opus,f2_gpt5,fmqm_gemini,fmqm_gpt5,gemini_issue,rank_metric,rank_value
slice_A_f2_opus47,en-ru,wmt22,HuaweiTSC,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я Midwesterner, и всегда был добр к лицу PJ, так что я сказал ей, что я сожалею, что сосало, как насчет этого проекта мы оба на?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-36.2,10.9,13.200000000000001,44.0,0.0,calque,resid_f2_opus,7.016342449261223
slice_A_f2_opus47,en-ru,wmt22,M2M100_1.2B-B4,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я среднезападник, и я всегда был хорош к лицу ПДЖ, поэтому я сказал ей, что я сожалею, что сосали, что нас обоих в этом проекте?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-26.1,10.9,12.750000000000002,24.0,10.0,calque,resid_f2_opus,4.63681922787132
slice_A_f2_opus47,en-ru,wmt22,QUARTZ_TuneReranking,1057,Afaik it was just a change of wind that didn't suit everyone.,"Возможно, это была просто смена ветра, которая не устроила всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,36.400000000000006,52.95000000000002,97.0,98.0,calque,resid_f2_opus,3.471686398274228
slice_A_f2_opus47,en-ru,wmt22,HuaweiTSC,1057,Afaik it was just a change of wind that didn't suit everyone.,"Afaik это была просто смена ветра, которая не устраивала всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,29.2,36.75,89.0,89.0,calque,resid_f2_opus,3.391572520756616
slice_A_f2_opus47,en-ru,wmt22,Online-Y,682,Tap Settings.,Нажмите «Настройки».,Нажмите «Настройки».,-1.0,95.00000000000001,83.99999999999999,100.0,99.0,none,resid_f2_opus,3.326649157639935
slice_A_f2_opus47,en-de,wmt23,ONLINE-W,201,But did I love it? Absolutely!,Aber hat es mir gefallen? Auf jeden Fall!,,0.0,89.39999999999999,78.15,100.0,100.0,none,resid_f2_opus,6.882676022731282
slice_A_f2_opus47,en-de,wmt24,MSLC,97,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.","So hatten wir vor fast 18 Monaten den Cost of Living (Tenant Protection) (Scotland) Act 2022 eingeführt, der versuchte, die Mieten für einen begrenzten Zeitraum zu begrenzen, um den Druck der Lebenshaltungskrise zu verringern. Was wir jetzt aus den jüngsten Statistiken der schottischen Regierung erleben, ist, dass allein im letzten Jahr die durchschnittlichen <v>Vermietungen</v> in allen beschlagnahmten Eigenschaften angestiegen sind, von dem niedrigsten Anstieg von 11,7 % für ein Schlafzimmer bis zur höchsten Zahl von 14,3 % für zweibedürftige Häuser. Jede Art von Eigentum (von einem bis vier Schlafzimmer zu einem Wohnraum in einem Grundstück) hat seit der Einführung der Lebenshaltungsgesetzgebung im Oktober 2022 eine zweistellige Zunahme der Miete und überschreitet die jährliche durchschnittliche Zunahme der Mieten in den vergangenen 12 Jahren um mindestens drei Faktor.",,-42.0,21.95,15.499999999999998,38.0,35.0,calque,resid_f2_opus,5.05556070046309
slice_A_f2_opus47,en-de,wmt23,refA,201,But did I love it? Absolutely!,Aber habe ich es geliebt? Auf jeden Fall!,,0.0,83.85,69.24999999999999,98.0,100.0,calque,resid_f2_opus,4.373612229507064
slice_A_f2_opus47,en-de,wmt22,M2M100_1.2B-B4,1813,"Jerry: You can’t park that trailer there, then I can’t get to the dumpster!","Jerry: Sie können diesen Trailer dort nicht parken, dann kann ich nicht zum Müllstuhl kommen!","Jerry: Du kannst den Anhänger dort nicht parken, dann komme ich nicht an den Müllcontainer!",-10.0,31.000000000000007,20.4,73.0,59.0,idiom_literal,resid_f2_opus,3.8154831811001046
slice_A_f2_opus47,en-de,wmt22,M2M100_1.2B-B4,1198,Hat and parasol alert!,Hat und Sonnenschirm warnen!,Achtung Hut und Sonnenschirm!,-10.0,20.9,19.2,75.0,65.0,idiom_literal,resid_f2_opus,3.7534273965157894
slice_A_f2_gpt5,en-ru,wmt22,HuaweiTSC,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я Midwesterner, и всегда был добр к лицу PJ, так что я сказал ей, что я сожалею, что сосало, как насчет этого проекта мы оба на?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-36.2,10.9,13.200000000000001,44.0,0.0,calque,resid_f2_gpt5,6.847689351439411
slice_A_f2_gpt5,en-ru,wmt22,PROMT,1932,My apologies again for the inconvenience this has caused you.,Еще раз приношу свои извинения за доставленные вам неудобства.,Снова приношу извинения за принесенные этим неудобства.,-0.0,90.0,95.00000000000001,100.0,100.0,none,resid_f2_gpt5,5.968679524716249
slice_A_f2_gpt5,en-ru,wmt22,M2M100_1.2B-B4,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я среднезападник, и я всегда был хорош к лицу ПДЖ, поэтому я сказал ей, что я сожалею, что сосали, что нас обоих в этом проекте?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-26.1,10.9,12.750000000000002,24.0,10.0,calque,resid_f2_gpt5,4.460316835824597
slice_A_f2_gpt5,en-ru,wmt22,JDExploreAcademy,1932,My apologies again for the inconvenience this has caused you.,Еще раз приношу извинения за доставленные неудобства.,Снова приношу извинения за принесенные этим неудобства.,-0.0,94.55000000000001,90.0,100.0,100.0,none,resid_f2_gpt5,3.91884049025402
slice_A_f2_gpt5,en-ru,wmt22,Online-G,1615,I am just wondering how is it for other countries?,"Мне просто интересно, как обстоят дела в других странах?","Мне просто интересно, как это в других странах?",-0.0,85.0,90.0,100.0,100.0,none,resid_f2_gpt5,3.91884049025402
slice_A_f2_gpt5,en-de,wmt24,MSLC,97,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.","So hatten wir vor fast 18 Monaten den Cost of Living (Tenant Protection) (Scotland) Act 2022 eingeführt, der versuchte, die Mieten für einen begrenzten Zeitraum zu begrenzen, um den Druck der Lebenshaltungskrise zu verringern. Was wir jetzt aus den jüngsten Statistiken der schottischen Regierung erleben, ist, dass allein im letzten Jahr die durchschnittlichen <v>Vermietungen</v> in allen beschlagnahmten Eigenschaften angestiegen sind, von dem niedrigsten Anstieg von 11,7 % für ein Schlafzimmer bis zur höchsten Zahl von 14,3 % für zweibedürftige Häuser. Jede Art von Eigentum (von einem bis vier Schlafzimmer zu einem Wohnraum in einem Grundstück) hat seit der Einführung der Lebenshaltungsgesetzgebung im Oktober 2022 eine zweistellige Zunahme der Miete und überschreitet die jährliche durchschnittliche Zunahme der Mieten in den vergangenen 12 Jahren um mindestens drei Faktor.",,-42.0,21.95,15.499999999999998,38.0,35.0,calque,resid_f2_gpt5,5.48224516622055
slice_A_f2_gpt5,en-de,wmt23,ONLINE-W,201,But did I love it? Absolutely!,Aber hat es mir gefallen? Auf jeden Fall!,,0.0,89.39999999999999,78.15,100.0,100.0,none,resid_f2_gpt5,4.948788005028024
slice_A_f2_gpt5,en-de,wmt24,Aya23,143,How Betta Edu became a scapegoat of a dysfunctional political system,Wie Betta Edu zum Sündenbock eines dysfunktionalen politischen Systems wurde,,0.0,78.30000000000001,89.7,100.0,100.0,none,resid_f2_gpt5,4.118572525501777
slice_A_f2_gpt5,en-de,wmt24,MSLC,99,"With the Cost of Living Act legislation ending on 31 March 2024, a new consultation document seeks to extend controls on the level of rent increases that can be levied in the coming year. The consultation ends this Monday and proposes rents be set by the lowest of three comparators: open market rent; a landlord's proposed new rent; and a ""reasonable"" increase devised from a new taper system using comparison with a percentage of market rent.","Mit dem <v>am 31. März 2024 abgeschlossenen</v> Gesetz über die Kosten des Lebensversicherungsgesetzes soll in einem neuen Konsultationspapier die Kontrolle über die Höhe der Mieterhöhungen, die im nächsten Jahr erhoben werden können, verlängert werden. Die Konsultation endet an diesem Montag und schlägt vor, dass die Mieten am niedrigsten von drei Vergleichsteilnehmern festgesetzt werden: offene Marktmietungen, vorgeschlagene neue Miete von Landbesitzern und eine ""angemessene"" Erhöhung, die von einem neuen bürokratischen System unter Verwendung eines Prozentsatzes der Marktmiete erprobt wird.",,-32.0,21.5,25.500000000000004,53.0,29.0,collocation,resid_f2_gpt5,4.015812046839458
slice_A_f2_gpt5,en-de,wmt24,Llama3-70B,97,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.","Demnach haben wir die Einführung des Cost of Living (Tenant protection) (Scotland) Act 2022 vor fast 18 Monaten gehabt, der versuchte, die Mieten für einen begrenzten Zeitraum zu deckeln, um den Druck der <v>Kostenkrise</v> zu lindern. Was wir jetzt aus den neuesten Statistiken der schottischen Regierung feststellen, ist, dass die durchschnittlichen Mieten in den letzten 12 Monaten allein in allen Größen von Eigenschaften gestiegen sind, von einem Anstieg von 11,7 Prozent für Ein-Zimmer-Wohnungen bis hin zu dem höchsten Wert von 14,3 Prozent für Zwei-Zimmer-Wohnungen. Jede Art von Eigenschaft (von Ein-Zimmer- bis Vier-Zimmer-Wohnungen und einem Zimmer in einer Eigenschaft) hat seit der Einführung des Cost of Living-Gesetzes im Oktober 2022 einen zweistelligen Mietanstieg erlebt, der die jährlichen Durchschnittszuwächse der Mieten in den letzten 12 Jahren um mindestens einen Faktor von drei übersteigt.",,-30.0,30.700000000000003,35.5,87.0,59.0,false_friend,resid_f2_gpt5,3.8688248516517496
slice_A_fmqm_gemini,en-ru,wmt22,Online-Y,1918,The prime minister had tangled himself in knots by repeatedly denying any rules were broken before more reports and evidence emerged to suggest the opposite.,The prime minister had tangled himself in knots by repeatedly denying any rules were broken before,"Премьер-министр загнал себя в угол тем, что несколько раз отрицал нарушение каких-либо правил, в то время как многочисленные отчеты и улики указывали на обратное.",-10.0,10.0,10.0,0.0,50.0,register_mismatch,resid_fmqm_gemini,7.516365183550646
slice_A_fmqm_gemini,en-ru,wmt22,QUARTZ_TuneReranking,682,Tap Settings.,Тап Стингс.,Нажмите «Настройки».,-1.0,12.1,10.0,50.0,20.0,calque,resid_fmqm_gemini,4.736522785715696
slice_A_fmqm_gemini,en-ru,wmt22,QUARTZ_TuneReranking,1057,Afaik it was just a change of wind that didn't suit everyone.,"Возможно, это была просто смена ветра, которая не устроила всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,36.400000000000006,52.95000000000002,97.0,98.0,calque,resid_fmqm_gemini,4.346005074127051
slice_A_fmqm_gemini,en-ru,wmt22,SRPOL,1651,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я житель Среднего Запада, и всегда был хорош на лице PJ, так что я сказал ей, что мне жаль, что засосало, что с этим проектом мы оба на?","Я сам со Среднего Запада и всегда приветливо вел себя с PJ, поэтому я сказал ей, что мне жаль, что это правда отстой, что насчет проекта, в котором мы оба участвуем?",-15.2,10.0,17.800000000000004,25.0,15.0,calque,resid_fmqm_gemini,3.8411593066646503
slice_A_fmqm_gemini,en-ru,wmt22,M2M100_1.2B-B4,874,"Avalanche at Washington state ski resort kills 1, traps 5","Аваланш на лыжном курорте штата Вашингтон убивает 1, ловушки 5","Лавина на горнолыжном курорте в штате Вашингтон привела к смерти 1, заблокировала 5",-7.0,10.9,13.5,45.0,35.0,calque,resid_fmqm_gemini,3.812965596876566
slice_A_fmqm_gemini,en-de,wmt24,MSLC,152,"In general I really like the interplay between the two games. The advantage of shortform stories is that you can ""skip to the good part"", they can be more immediately engrossing and satisfying. The advantage of longform stories is that you can imbue whatever happens with way more emotional weight, you lose the immediacy in exchange for stronger payoffs.","Im Allgemeinen bin ich wirklich wie das Zusammenspiel zwischen den beiden Spielen. Der Vorteil der Kurzgeschichten besteht darin, dass man „auf den guten Teil schneidet“ kann, dass sie sofort zerrüttet und zufriedener sein können. Der Vorteil langformer Geschichten besteht darin, dass man etwas emotionaleres Gewicht erniedrigen kann, dass man im Gegenzug für stärkere Entlohnungen die Immediation verliert.",,0.0,11.500000000000002,10.75,19.0,0.0,calque,resid_fmqm_gemini,7.44544955544275
slice_A_fmqm_gemini,en-de,wmt23,AIRC,414,"buy the Pampered Chef... I own a Pampered Chef small scoop, but am in between residences so most of my 'stuff' is in storage. I love using these scoops while baking for perfectly portioned cookies. I looked at the OXO scoop and the Pampered Chef scoop and decided to save some money and get the OXO one - I usually have good luck with their products. Not this one. At about peanut butter cookie #30 the lever inside the scoop stopped working. I had to pry the handles apart and re-position the lever in order to do a few more, and then repeat. So... save your sanity and buy the Pampered Chef scoop. It's totally worth it!","Ich habe die OXO-Schleife und den Pampered Chef-Schöpfer angeschaut und habe beschlossen, etwas Geld zu sparen und den OXO-Cookie zu bekommen - ich habe normalerweise viel Glück mit ihren Produkten. Nicht dieses. Bei Erdnussbutter-Cookie #30 musste ich die Griffe auseinander nehmen und den Hebel wieder positionieren, um einiges mehr zu tun, und dann wiederhole.... Speichern Sie Ihre Sanität und kaufen Sie den Pampered Chef-Schmuck.",,-35.0,20.9,13.65,25.0,13.0,calque,resid_fmqm_gemini,4.287835806213461
slice_A_fmqm_gemini,en-de,wmt23,AIRC,186,This is my personal Mandela effect thing. I'd never seen it in a cookbook. I'd never seen it at the fancy grocer or any of the Italian delis. I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"Das ist meine persönliche Mandela-Effekt-Dinge, die ich nie in einem Kochbuch gesehen hätte. Ich hätte es nie in einem fabelhaften Lebensmittelgeschäft oder einem der italienischen Delis gesehen. Ich hätte nie gesehen, dass jemand seine Mutter macht oder dass sie mich auf einer Party geschoben hat oder dass sie in Verbindung mit den Soßenmachern oder Backtagen auftaucht.",,-19.0,19.45,17.35,39.0,33.0,idiom_literal,resid_fmqm_gemini,3.920391255684392
slice_A_fmqm_gemini,en-de,wmt24,Llama3-70B,97,"Thus, we had the introduction of the Cost of Living (Tenant protection) (Scotland) Act 2022 nearly 18 months ago which sought to cap rents for a limited period to ease the pressures of the cost-of-living crisis. What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes. Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.","Demnach haben wir die Einführung des Cost of Living (Tenant protection) (Scotland) Act 2022 vor fast 18 Monaten gehabt, der versuchte, die Mieten für einen begrenzten Zeitraum zu deckeln, um den Druck der <v>Kostenkrise</v> zu lindern. Was wir jetzt aus den neuesten Statistiken der schottischen Regierung feststellen, ist, dass die durchschnittlichen Mieten in den letzten 12 Monaten allein in allen Größen von Eigenschaften gestiegen sind, von einem Anstieg von 11,7 Prozent für Ein-Zimmer-Wohnungen bis hin zu dem höchsten Wert von 14,3 Prozent für Zwei-Zimmer-Wohnungen. Jede Art von Eigenschaft (von Ein-Zimmer- bis Vier-Zimmer-Wohnungen und einem Zimmer in einer Eigenschaft) hat seit der Einführung des Cost of Living-Gesetzes im Oktober 2022 einen zweistelligen Mietanstieg erlebt, der die jährlichen Durchschnittszuwächse der Mieten in den letzten 12 Jahren um mindestens einen Faktor von drei übersteigt.",,-30.0,30.700000000000003,35.5,87.0,59.0,false_friend,resid_fmqm_gemini,3.903567961831839
slice_A_fmqm_gemini,en-de,wmt24,MSLC,303,but yeah it's either DMS or decimal degrees for GPS coordinates most of the time i've found,aber entweder DMS oder dezimale Grade für GPS-Koordinaten <v>den größten Teil der gefundenen Zeit i’ve</v>,,-5.0,13.399999999999999,16.950000000000003,49.0,14.0,calque,resid_fmqm_gemini,3.7919694643847683
slice_A_fmqm_gpt5,en-ru,wmt22,QUARTZ_TuneReranking,682,Tap Settings.,Тап Стингс.,Нажмите «Настройки».,-1.0,12.1,10.0,50.0,20.0,calque,resid_fmqm_gpt5,5.689277963072129
slice_A_fmqm_gpt5,en-ru,wmt22,QUARTZ_TuneReranking,1057,Afaik it was just a change of wind that didn't suit everyone.,"Возможно, это была просто смена ветра, которая не устроила всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,36.400000000000006,52.95000000000002,97.0,98.0,calque,resid_fmqm_gpt5,4.7150691770699495
slice_A_fmqm_gpt5,en-ru,wmt22,HuaweiTSC,1057,Afaik it was just a change of wind that didn't suit everyone.,"Afaik это была просто смена ветра, которая не устраивала всех.","Насколько мне известно, это просто была смена курса, который не подходил никому.",-20.0,29.2,36.75,89.0,89.0,calque,resid_fmqm_gpt5,4.031067293113056
slice_A_fmqm_gpt5,en-ru,wmt22,JDExploreAcademy,1324,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Позвоните менеджеру магазина, если их там нет.","Шаг 2: позвать директора магазина, если его нет на месте.",-15.0,42.599999999999994,46.050000000000004,94.0,94.0,calque,resid_fmqm_gpt5,3.2330865469884955
slice_A_fmqm_gpt5,en-ru,wmt22,M2M100_1.2B-B4,874,"Avalanche at Washington state ski resort kills 1, traps 5","Аваланш на лыжном курорте штата Вашингтон убивает 1, ловушки 5","Лавина на горнолыжном курорте в штате Вашингтон привела к смерти 1, заблокировала 5",-7.0,10.9,13.5,45.0,35.0,calque,resid_fmqm_gpt5,3.1356966718232364
slice_A_fmqm_gpt5,en-de,wmt24,MSLC,152,"In general I really like the interplay between the two games. The advantage of shortform stories is that you can ""skip to the good part"", they can be more immediately engrossing and satisfying. The advantage of longform stories is that you can imbue whatever happens with way more emotional weight, you lose the immediacy in exchange for stronger payoffs.","Im Allgemeinen bin ich wirklich wie das Zusammenspiel zwischen den beiden Spielen. Der Vorteil der Kurzgeschichten besteht darin, dass man „auf den guten Teil schneidet“ kann, dass sie sofort zerrüttet und zufriedener sein können. Der Vorteil langformer Geschichten besteht darin, dass man etwas emotionaleres Gewicht erniedrigen kann, dass man im Gegenzug für stärkere Entlohnungen die Immediation verliert.",,0.0,11.500000000000002,10.75,19.0,0.0,calque,resid_fmqm_gpt5,5.591367686855851
slice_A_fmqm_gpt5,en-de,wmt24,MSLC,303,but yeah it's either DMS or decimal degrees for GPS coordinates most of the time i've found,aber entweder DMS oder dezimale Grade für GPS-Koordinaten <v>den größten Teil der gefundenen Zeit i’ve</v>,,-5.0,13.399999999999999,16.950000000000003,49.0,14.0,calque,resid_fmqm_gpt5,3.8837413232498172
